index,title,original_language,release_date,popularity,vote_average,vote_count,overview,
9735,The Wonderful Winter of Mickey Mouse,en,18/02/2022,12.803,5.6,12,The wonder of the winter season takes Mickey Mouse and his friends on a journey through three magical stories.,
9736,A Christmas Carol,en,09/10/1984,12.803,7.4,295,A bitter old miser who makes excuses for his uncaring nature learns real compassion when three ghosts visit him on Christmas Eve.,
9737,Interstella 5555,ja,28/05/2003,12.802,7.9,361,"Four talented alien musicians are kidnapped by a record producer who disguises them as humans. Shep, a space pilot in love with bass player Stella, follows them to Earth. Reprogrammed to forget their real identities and renamed The Crescendolls, the group quickly becomes a huge success playing soulless corporate pop. At a concert, Shep manages to free all the musicians except Stella, and the band sets out to rediscover who they really are -- and to rescue Stella.",
9738,Down with Love,en,08/05/2003,12.802,6.1,642,"In 1962 New York City, love blossoms between a playboy journalist and a feminist advice author.",
9739,T-34,ru,27/12/2018,12.801,7.2,767,"In 1944, a courageous group of Russian soldiers managed to escape from German captivity in a half-destroyed legendary T-34 tank. Those were the times of unforgettable bravery, fierce fighting, unbreakable love, and legendary miracles.",
9740,Little Tickles,fr,14/11/2018,12.8,7.5,289,"Odette is a 8-yr-old girl who loves to dance and draw. Once she has become an adult, Odette realizes she was abused, and immerses herself body and soul in her career as a dancer while trying to deal with her past.",
9741,The Phantom Empire,en,01/10/1987,12.8,3.6,15,"Lost city explorers find mutants, cavegirls, dinosaurs and a leather clad space queen.",
9742,Young Adam,en,26/09/2003,12.8,5.9,148,A young drifter working on a river barge disrupts his employers' lives while hiding the fact that he knows more about a dead woman found in the river than he admits.,
9743,Father There Is Only One 2,es,29/07/2020,12.799,7.5,505,The success of the Conchy virtual assistant (which was developed by Javier) has earned him a favorable spot in the parents chat room - until something unexpected ruins it all.,
9744,The Bouncer,fr,22/08/2018,12.799,6.3,302,A tough nightclub bouncer struggling to raise his 8-year-old daughter is forced to go undercover after an unfortunate event.,
9745,Blue Miracle,en,27/05/2021,12.798,7.4,256,"To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition.",
9746,The Temptation Came at Stormy Night,ja,09/08/2016,12.798,4,1,"Romantic fantasy about the ruckus that ensues after a mother and daughter switch bodies. Director Imaoka Shinji wrote the script for The Drudgery Train and has worked on numerous erotic films.
 Housewife Suda Sawako (Takaki Mio) is dissatisfied with her husband Kenzo (Haruta Junichi). Meanwhile, her daughter Yasuko (Ishikawa Yumi) is going out with Kitamura Mitsuru (Nagaoka Tasuku), a struggling musician. When Sawako visits Yasuko's apartment one day, her built-up frustrations explode and she gets into a physical altercation with her daughter.",
9747,Bigbug,fr,11/02/2022,12.795,5.3,352,"Set in the world of 2045, where communities have robotic helpers, a group of suburbanites are locked in for their protection by their household robots, while a rogue, self-aware AI android revolt uprising takes place outside.",
9748,Seized,en,13/10/2020,12.795,6.7,153,"Hiding out with his son Taylor on the Mexican coast, Nero hopes to put his violent Special Forces career behind him. But after Neroâ€™s home is attacked and Taylor is abducted, the mysterious Mzamo orders Nero to slaughter the members of three rival crime syndicates. If he fails, Taylor will die. Now, with bullets flying and bodies dropping as Nero completes his mission, he races to find Mzamoâ€™s hideout and seek revenge.",
9749,The Return Of The Rebel 2,en,,12.795,6.6,5,"Telugu actor Prabhas, who has been riding high on the unprecedented success of Baahubali 2, is coming back with Billa, the 2009  Telugu action thriller. The makers of the film have decided to release the Anushka Shetty and Prabhas starrer in Hindi now.",
9750,Pawn,ko,29/09/2020,12.793,8.4,45,"A debt collector who looks intimidating, but actually has a warm heart, ends up becoming the guardian of a child, who has been left behind as collateral by her illegal immigrant mother.",
9751,Gulliver's Travels,en,10/11/1939,12.792,6.2,103,"Gulliver washes ashore on Lilliput and attempts to prevent war between that tiny kingdom and its equally-miniscule rival, Blefiscu, as well as smooth the way for the romance between the Princess and Prince of the opposing lands. In this he is alternately aided and hampered by the Lilliputian town crier and general fussbudget, Gabby. A life-threatening situation develops when the bumbling trio of Blefiscu spies, Sneak, Snoop, and Snitch, manage to steal Gulliver's pistol.",
9752,Air Buddies,en,12/12/2006,12.792,5.9,298,"Five puppies are shocked to find out that their parents, Buddy and Molly, have been abducted and face obstacles while trying to rescue them.",
9753,"Hello, My Dolly Girlfriend",ja,15/06/2013,12.79,5.2,32,"A lonely otaku is fired from his job. He is rescued in a ruined building by a strange girl in a sailor suit. When he wakes up, the girl becomes a figure. The young man and the pretty figure begin to live together.",
9754,Semi-Pro,en,28/02/2008,12.79,5.6,698,"Jackie Moon is the owner, promoter, coach, and star player of the Flint Michigan Tropics of the American Basketball Association (ABA). In 1976 before the ABA collapses, the National Basketball Association (NBA) plans to merge with the best teams of the ABA at the end of the season. Only the top four teams will make the move and the worst teams will fold. The Tropics are the worst team in the league and if they want to make it to the NBA, Jackie Moon must rally his team and start winning. The only problem is the fact that Jackie Moon is not really the coach and star basketball player he thinks he is. To keep his team from oblivion and leave his mark in the city, Jackie Moon must inspire his team to win fourth place in the playoffs.",
9755,Puppylove,fr,29/06/2013,12.789,6,33,"Diane is a mysterious and lonely teenager. Sharing special bonds with her father Christian, she takes care of the education of her brother Marc. The arrival of Julia in the neighborhood, a charismatic and liberated young British woman, is going to disturb Dianeâ€™s daily life.  Desperately willing to become an adult, Diane is going to live, for a semester, the most shattering experiences of her life. The more she gets close to Julia, the more she gets irresponsible, ignoring consequences and limits to her desires.",
9756,Dr. Dolittle 3,en,25/04/2006,12.789,5.1,410,"Lisa Dolittle sends her daughter to 'Durango', a Dude Ranch, to find herself. While there, she uses her talent to talk to the animals in order to save Durango from being taken over by a neighboring Ranch.",
9757,Motel Hell,en,14/08/1980,12.788,5.8,207,"Farmer Vincent Smith and his sister Ida run a motel attached to a farm where they capture unsuspecting travelers, bury them alive, fatten them up and then harvest their bodies as ingredients for his famous brand of ""smoked meats.""",
9758,Partly Cloudy,en,28/05/2009,12.788,7.8,957,"Everyone knows that the stork delivers babies, but where do the storks get the babies from? The answer lies up in the stratosphere, where cloud people sculpt babies from clouds and bring them to life. Gus, a lonely and insecure grey cloud, is a master at creating ""dangerous"" babies. Crocodiles, porcupines, rams and more - Gus's beloved creations are works of art, but more than a handful for his loyal delivery stork partner, Peck. As Gus's creations become more and more rambunctious, Peck's job gets harder and harder. How will Peck manage to handle both his hazardous cargo and his friend's fiery temperament?",
9759,Flashback,en,08/10/2020,12.787,6.3,247,"Frederick Fitzell is living his best lifeâ€”until he starts having horrific visions of Cindy, a girl who vanished in high school. After reaching out to old friends with whom he used to take a mystery drug called Mercury, Fredrick realizes the only way to stop the visions lies deep within his own memories, so he embarks on a terrifying mental odyssey to learn the truth.",
9760,Flashback,en,08/10/2020,12.787,6.3,247,"Frederick Fitzell is living his best lifeâ€”until he starts having horrific visions of Cindy, a girl who vanished in high school. After reaching out to old friends with whom he used to take a mystery drug called Mercury, Fredrick realizes the only way to stop the visions lies deep within his own memories, so he embarks on a terrifying mental odyssey to learn the truth.",
